Ambient Temperature,Ambient Humidity,Light Intensity (PAR),Phi2,vH+,Relative Chlorophyll,Thickness,Leaf Angle,Leaf Temperature Differential
33.69,54.526,1180.984,0.359,0.272,46.2,0.96,29.292,-5.88
33.58,54.286,1009.335,0.399,0.202,55.78,0.92,30.902,-5.91
33.57,54.828,1107.309,0.421,0.279,50.02,0.5,30.003,-2.97
34.86,55.583,1190.115,0.361,0.245,51.09,1.5,5.746,-5.67
34.59,53.433,1282.384,0.368,0.218,58.69,0.42,11.569,-3.72
34.53,53.867,939.312,0.375,0.29600000000000004,46.52,0.52,16.339000000000002,-2.67
34.52,54.069,1073.8010000000004,0.359,0.23,57.09,0.95,22.216,-7.13
34.63,54.62600000000001,294.998,0.504,0.08199999999999999,60.87,0.97,25.977,-4.38
29.7,68.623,337.38199999999995,0.5379999999999999,0.118,48.31,1.52,19.825,-5.67
29.71,68.982,574.123,0.474,0.134,46.07,0.82,22.779,-4.38
29.73,68.359,615.154,0.457,0.17800000000000002,41.79,0.68,18.511,-3.83
29.75,68.039,506.299,0.452,0.151,38.31,1.3,31.031,-3.33
30.33,69.583,854.248,0.4320000000000001,0.171,42.34,0.8,12.951,-3.47
30.41,69.66,648.281,0.452,0.193,45.18,0.55,24.506,-4.26
30.47,69.85300000000001,1116.265,0.4,0.237,43.44,1.16,21.198,-3.4
30.5,69.14399999999999,1121.586,0.383,0.215,45.09,0.51,10.943,-3.79
30.93,62.82,567.028,0.469,0.152,45.36,0.56,11.822,-4.27
30.89,63.53100000000001,604.487,0.5,0.161,45.49,1.2,6.805,-4.74
30.92,64.521,440.263,0.513,0.113,47.69,0.75,38.44300000000001,-4.31
30.96,65.123,595.63,0.493,0.16699999999999998,43.52,1.53,17.082,-4.07
31.23,67.641,546.697,0.489,0.135,41.69,0.81,9.682,-5.84
31.28,67.508,588.69,0.501,0.174,43.48,0.6,4.966,-3.85
31.83,61.892,583.54,0.513,0.135,45.67,0.66,16.344,-4.84
31.82,62.378,845.868,0.453,0.206,46.18,0.66,44.523,-3.83
31.8,62.67,761.035,0.442,0.21,46.19,0.59,21.231,-4.91
31.37,60.506,359.7990000000001,0.542,0.085,45.16,1.42,11.123,-5.09
31.34,61.869,342.254,0.5660000000000001,0.132,41.75,1.41,10.042,-2.95
31.34,62.77,263.279,0.545,0.08800000000000001,40.24,1.03,19.383,-4.95
31.33,63.082,291.143,0.556,0.08900000000000001,41.19,0.66,6.496,-4.3
32.82,71.462,1047.53,0.39,0.235,42.0,0.6,31.275,-5.25
32.61,70.999,1365.796,0.358,0.237,40.43,1.09,15.094,-6.32
32.46,70.811,857.248,0.435,0.207,37.84,0.6,35.412,-4.79
32.71,59.312,1700.733,0.365,0.258,36.95,1.09,25.887,-4.22
33.04,61.417,441.661,0.491,0.161,35.08,0.34,56.158,-3.61
33.35,62.59,1706.192,0.361,0.327,39.06,0.58,48.709,-2.75
33.23,62.596,378.393,0.5,0.08199999999999999,38.96,1.15,33.041,-6.52
33.07,57.828,611.842,0.462,0.147,42.03,1.06,30.983,-6.96
32.91,60.51300000000001,257.775,0.504,0.08,38.72,0.48,83.74700000000001,-5.52
31.67,62.161,412.321,0.496,0.127,38.98,0.54,42.668,-6.04
31.51,64.778,472.253,0.493,0.131,38.71,0.61,33.818000000000005,-4.72
31.49,64.245,394.879,0.503,0.123,33.21,0.4,23.213,-4.32
34.48,55.44600000000001,782.324,0.445,0.13699999999999998,39.72,0.16,59.287,-8.09
34.21,57.533,552.773,0.458,0.119,43.47,0.65,48.005,-5.96
33.92,57.76300000000001,765.1419999999998,0.476,0.221,38.19,0.82,42.218,-6.85
33.65,57.098,1006.779,0.441,0.187,42.38,0.56,18.697,-7.12
32.74,61.68,623.308,0.509,0.121,40.9,0.39,7.152,-5.57
32.73,62.087,620.861,0.494,0.127,38.41,0.7,27.062,-5.98
32.76,63.307,605.278,0.49,0.141,36.19,0.85,34.138000000000005,-5.33
32.74,63.932,570.002,0.511,0.146,37.3,1.0,19.888,-5.39
31.61,59.403,456.854,0.495,0.166,36.24,0.89,15.901,-5.0
31.71,60.389,474.379,0.496,0.157,37.01,0.97,22.558000000000003,-4.72
31.91,59.452,572.163,0.439,0.17600000000000002,32.81,0.56,53.125,-5.02
31.97,59.272,475.221,0.494,0.17600000000000002,35.36,0.47,17.383,-4.08
33.57,62.772,533.851,0.46,0.135,34.65,1.35,13.758,-6.58
33.42,60.303,569.006,0.482,0.14800000000000002,40.06,1.43,26.843000000000004,-6.31
33.34,61.202,655.448,0.454,0.168,36.95,0.74,20.587,-5.63
33.3,60.121,514.406,0.4920000000000001,0.174,37.7,0.51,58.77,-4.99
33.09,58.951,462.881,0.503,0.141,38.91,0.54,4.009,-5.52
33.15,59.901,438.778,0.5,0.14300000000000002,39.28,0.69,60.448,-5.54
33.19,61.06,463.614,0.524,0.145,38.96,0.72,16.544,-4.98
33.36,60.45,442.028,0.507,0.131,40.43,1.01,29.254,-7.31
